image,category,shelf_name,x1,y1,x2,y2,w,h,train
C4_P08_N1_S5_2.JPG,9,C4_P08,1016,1800,1152,2012,136,212,False
C3_P03_N2_S4_1.JPG,9,C3_P03,1192,2040,1376,2324,184,284,True
C3_P01_N4_S3_1.JPG,9,C3_P01,2080,1776,2328,2156,248,380,True
C3_P04_N2_S4_1.JPG,9,C3_P04,456,1860,660,2156,204,296,True
C3_P04_N4_S2_1.JPG,9,C3_P04,1624,1716,2024,2276,400,560,True
C1_P09_N2_S4_1.JPG,9,C1_P09,648,1244,844,1516,196,272,False
C3_P04_N4_S2_2.JPG,9,C3_P04,1400,1396,1684,1780,284,384,True
C3_P07_N4_S2_1.JPG,9,C3_P07,2804,584,3152,1056,348,472,True
C3_P07_N1_S5_1.JPG,9,C3_P07,1952,1664,2120,1904,168,240,True
C4_P08_N3_S3_2.JPG,9,C4_P08,1644,1644,1876,1980,232,336,False
C3_P04_N4_S2_2.JPG,9,C3_P04,768,1348,1084,1772,316,424,True
C3_P04_N4_S2_1.JPG,9,C3_P04,784,1648,1168,2264,384,616,True
C2_P06_N2_S4_2.JPG,9,C2_P06,960,1360,1116,1556,156,196,False
C2_P05_N1_S5_1.JPG,9,C2_P05,688,1584,812,1752,124,168,True
C4_P04_N5_S2_1.JPG,9,C4_P04,212,180,456,552,244,372,True
C4_P04_N1_S5_1.JPG,9,C4_P04,584,1716,756,1976,172,260,True
C2_P06_N3_S3_1.JPG,9,C2_P06,964,1052,1128,1288,164,236,False
C3_P03_N2_S4_1.JPG,9,C3_P03,920,2052,1104,2336,184,284,True
C2_P06_N2_S4_1.JPG,9,C2_P06,988,1532,1144,1764,156,232,False
C3_P07_N1_S4_1.JPG,9,C3_P07,1708,2004,1904,2268,196,264,True
C2_P05_N2_S5_1.JPG,9,C2_P05,640,1044,748,1188,108,144,True
C3_P07_N3_S2_1.JPG,9,C3_P07,2436,1500,2748,1936,312,436,True
C3_P03_N4_S2_1.JPG,9,C3_P03,1416,1288,1716,1704,300,416,True
C2_P02_N1_S5_1.JPG,9,C2_P02,816,1784,924,1928,108,144,True
C3_P04_N1_S5_1.JPG,9,C3_P04,584,2044,740,2260,156,216,True
C3_P07_N4_S2_1.JPG,9,C3_P07,2484,580,2820,1052,336,472,True
C1_P09_N3_S3_1.JPG,9,C1_P09,296,836,488,1092,192,256,False
C4_P08_N1_S5_1.JPG,9,C4_P08,1000,1784,1132,1972,132,188,False
C3_P07_N2_S3_1.JPG,9,C3_P07,2676,1932,2936,2268,260,336,True
C3_P04_N4_S2_2.JPG,9,C3_P04,1104,1388,1392,1780,288,392,True
C4_P08_N1_S5_1.JPG,9,C4_P08,1128,1792,1260,1980,132,188,False
C1_P09_N4_S4_1.JPG,9,C1_P09,512,528,708,804,196,276,False
C1_P09_N2_S6_1.JPG,9,C1_P09,644,1212,836,1460,192,248,False
C2_P05_N3_S3_1.JPG,9,C2_P05,1084,1220,1288,1524,204,304,True
C4_P08_N3_S3_1.JPG,9,C4_P08,1656,1552,1864,1852,208,300,False
C3_P04_N4_S2_1.JPG,9,C3_P04,1212,1716,1612,2276,400,560,True
C2_P05_N3_S3_2.JPG,9,C2_P05,920,1196,1080,1440,160,244,True
C3_P03_N4_S2_1.JPG,9,C3_P03,1856,1300,2140,1700,284,400,True
C3_P04_N1_S5_1.JPG,9,C3_P04,396,2020,552,2272,156,252,True
C1_P09_N3_S4_1.JPG,9,C1_P09,644,892,860,1164,216,272,False
C1_P09_N1_S5_1.JPG,9,C1_P09,648,2076,836,2348,188,272,False
C3_P03_N3_S3_1.JPG,9,C3_P03,1148,1840,1396,2224,248,384,True
C3_P04_N2_S4_1.JPG,9,C3_P04,876,1884,1080,2140,204,256,True
C4_P08_N2_S4_1.JPG,9,C4_P08,1444,1744,1652,2052,208,308,False
C3_P07_N3_S3_1.JPG,9,C3_P07,2332,1164,2604,1564,272,400,True
C2_P02_N1_S5_1.JPG,9,C2_P02,716,1784,824,1928,108,144,True
C4_P08_N2_S4_1.JPG,9,C4_P08,1640,1736,1848,2044,208,308,False
C3_P03_N3_S3_1.JPG,9,C3_P03,1532,1840,1760,2200,228,360,True
C1_P09_N3_S4_2.JPG,9,C1_P09,188,788,360,1044,172,256,False
C1_P09_N1_S5_2.JPG,9,C1_P09,732,2048,912,2276,180,228,False
C3_P03_N1_S5_1.JPG,9,C3_P03,1052,2160,1204,2408,152,248,True
C2_P06_N3_S3_1.JPG,9,C2_P06,804,1052,968,1288,164,236,False
C4_P08_N3_S3_1.JPG,9,C4_P08,1440,1556,1648,1856,208,300,False
C1_P09_N4_S3_1.JPG,9,C1_P09,172,468,360,708,188,240,False
C4_P04_N4_S2_1.JPG,9,C4_P04,176,696,404,1052,228,356,True
C3_P07_N1_S5_1.JPG,9,C3_P07,2120,1680,2288,1920,168,240,True
C3_P07_N3_S3_1.JPG,9,C3_P07,2636,1168,2908,1568,272,400,True
C4_P04_N2_S4_1.JPG,9,C4_P04,392,1448,604,1748,212,300,True
C3_P07_N1_S6_1.JPG,9,C3_P07,1592,1848,1760,2076,168,228,True
C3_P07_N1_S6_1.JPG,9,C3_P07,1416,1848,1584,2076,168,228,True
C2_P06_N1_S5_1.JPG,9,C2_P06,912,1496,1036,1668,124,172,False
C2_P06_N3_S4_1.JPG,9,C2_P06,800,1096,960,1340,160,244,False
C3_P03_N1_S5_1.JPG,9,C3_P03,812,2180,964,2428,152,248,True
C2_P06_N1_S5_1.JPG,9,C2_P06,808,1504,932,1676,124,172,False
C3_P07_N2_S4_1.JPG,9,C3_P07,2124,1472,2320,1728,196,256,True
C2_P06_N2_S4_2.JPG,9,C2_P06,848,1368,1004,1564,156,196,False
C3_P04_N1_S5_1.JPG,9,C3_P04,756,2048,912,2264,156,216,True
C3_P04_N2_S4_1.JPG,9,C3_P04,664,1896,868,2152,204,256,True
C2_P06_N3_S4_1.JPG,9,C2_P06,940,1084,1100,1328,160,244,False
C4_P04_N3_S3_1.JPG,9,C4_P04,292,1104,528,1440,236,336,True
C3_P07_N2_S4_1.JPG,9,C3_P07,2328,1472,2524,1728,196,256,True
C3_P07_N1_S4_1.JPG,9,C3_P07,1904,2004,2100,2268,196,264,True
C2_P06_N3_S4_1.JPG,9,C2_P06,804,1100,964,1344,160,244,False
C4_P08_N3_S3_2.JPG,9,C4_P08,1432,1636,1664,1972,232,336,False
C2_P05_N2_S4_1.JPG,9,C2_P05,796,1472,952,1688,156,216,True
C2_P06_N2_S4_1.JPG,9,C2_P06,824,1544,980,1776,156,232,False
C3_P07_N2_S3_1.JPG,9,C3_P07,2404,1912,2664,2268,260,356,True
C3_P07_N3_S2_1.JPG,9,C3_P07,2768,1504,3080,1940,312,436,True
C4_P04_N3_S3_1.JPG,0,C4_P04,556,108,780,472,224,364,True
C1_P12_N3_S4_1.JPG,0,C1_P12,92,2004,308,2336,216,332,True
C4_P06_N1_S4_1.JPG,0,C4_P06,2316,764,2532,1076,216,312,True
C3_P01_N2_S2_1.JPG,0,C3_P01,2472,1524,2824,2108,352,584,True
C2_P07_N2_S2_1.JPG,0,C2_P07,468,996,712,1384,244,388,False
C4_P05_N1_S2_1.JPG,0,C4_P05,2080,1012,2304,1332,224,320,True
C1_P03_N2_S2_1.JPG,0,C1_P03,40,416,248,760,208,344,False
C4_P04_N1_S3_1.JPG,0,C4_P04,1664,896,1860,1260,196,364,True
C4_P05_N2_S4_1.JPG,0,C4_P05,424,1644,608,1940,184,296,True
C1_P05_N1_S4_1.JPG,0,C1_P05,2296,848,2512,1164,216,316,True
C2_P07_N1_S3_1.JPG,0,C2_P07,520,1128,704,1428,184,300,False
C1_P01_N1_S3_2.JPG,0,C1_P01,1240,96,1508,500,268,404,True
C4_P03_N1_S4_1.JPG,0,C4_P03,2016,112,2184,340,168,228,True
C2_P02_N1_S5_1.JPG,0,C2_P02,504,584,620,784,116,200,True
C1_P10_N2_S3_1.JPG,0,C1_P10,1636,208,1864,532,228,324,True
C2_P05_N3_S3_2.JPG,0,C2_P05,272,1176,412,1388,140,212,True
C1_P08_N4_S3_1.JPG,0,C1_P08,2792,944,2992,1264,200,320,True
C1_P10_N1_S2_1.JPG,0,C1_P10,2060,396,2292,836,232,440,True
C1_P02_N2_S4_1.JPG,0,C1_P02,1880,768,2064,1144,184,376,True
C2_P06_N1_S3_2.JPG,0,C2_P06,256,1152,444,1404,188,252,False
C1_P09_N3_S4_1.JPG,0,C1_P09,2292,128,2496,416,204,288,False
C2_P06_N1_S4_1.JPG,0,C2_P06,1264,1324,1412,1576,148,252,False
C3_P03_N1_S4_1.JPG,0,C3_P03,1556,1508,1760,1792,204,284,True
C4_P02_N1_S3_2.JPG,0,C4_P02,2220,888,2408,1132,188,244,True
C3_P04_N1_S3_1.JPG,0,C3_P04,1124,1072,1436,1592,312,520,True
C4_P04_N2_S3_1.JPG,0,C4_P04,1440,236,1676,552,236,316,True
C1_P04_N1_S5_1.JPG,0,C1_P04,2300,2120,2472,2400,172,280,True
C3_P07_N1_S6_1.JPG,0,C3_P07,1368,160,1544,420,176,260,True
C1_P02_N1_S4_1.JPG,0,C1_P02,2280,764,2456,1120,176,356,True
C2_P01_N1_S4_1.JPG,0,C2_P01,1156,172,1276,348,120,176,True
C2_P01_N2_S4_1.JPG,0,C2_P01,744,700,864,876,120,176,True
C1_P08_N2_S4_1.JPG,0,C1_P08,1700,1940,1904,2312,204,372,True
C1_P02_N1_S5_1.JPG,0,C1_P02,1340,628,1488,932,148,304,True
C4_P03_N2_S4_1.JPG,0,C4_P03,1768,1780,1912,2028,144,248,True
C3_P01_N1_S5_2.JPG,0,C3_P01,176,1236,340,1508,164,272,True
C4_P05_N1_S3_1.JPG,0,C4_P05,1128,348,1328,616,200,268,True
C3_P06_N3_S4_2.JPG,0,C3_P06,1324,852,1532,1220,208,368,True
C3_P06_N3_S4_2.JPG,0,C3_P06,556,1956,768,2236,212,280,True
C1_P11_N1_S5_1.JPG,0,C1_P11,1356,776,1548,1032,192,256,True
C2_P04_N2_S2_1.JPG,0,C2_P04,180,660,356,932,176,272,False
C1_P05_N1_S4_2.JPG,0,C1_P05,144,1900,360,2268,216,368,True
C1_P11_N1_S4_1.JPG,0,C1_P11,2480,2024,2724,2376,244,352,True
C2_P04_N2_S2_1.JPG,0,C2_P04,344,204,528,464,184,260,False
C1_P05_N3_S4_1.JPG,0,C1_P05,2700,1928,2908,2276,208,348,True
C3_P07_N1_S6_1.JPG,0,C3_P07,168,796,344,1044,176,248,True
C1_P11_N2_S4_3.JPG,0,C1_P11,2604,264,2804,540,200,276,True
C3_P06_N1_S5_1.JPG,0,C3_P06,2272,92,2452,376,180,284,True
C2_P03_N1_S5_1.JPG,0,C2_P03,600,1216,744,1444,144,228,True
C1_P06_N1_S3_1.JPG,0,C1_P06,1976,1136,2192,1440,216,304,True
C4_P05_N2_S3_1.JPG,0,C4_P05,340,396,548,728,208,332,True
C2_P05_N2_S5_1.JPG,0,C2_P05,536,1308,644,1464,108,156,True
C1_P05_N1_S5_1.JPG,0,C1_P05,2400,160,2580,436,180,276,True
C4_P08_N1_S5_2.JPG,0,C4_P08,648,1436,784,1636,136,200,False
C2_P06_N3_S4_1.JPG,0,C2_P06,2104,76,2276,364,172,288,False
C4_P08_N3_S3_2.JPG,0,C4_P08,108,420,340,740,232,320,False
C2_P07_N3_S2_1.JPG,0,C2_P07,536,920,784,1292,248,372,False
C4_P08_N1_S2_1.JPG,0,C4_P08,568,1296,824,1640,256,344,False
C3_P03_N2_S2_1.JPG,0,C3_P03,1552,1484,1856,2020,304,536,True
C1_P03_N1_S4_1.JPG,0,C1_P03,984,1456,1152,1692,168,236,False
C1_P04_N2_S4_1.JPG,0,C1_P04,248,212,472,532,224,320,True
C2_P05_N1_S4_1.JPG,0,C2_P05,360,660,516,880,156,220,True
C1_P06_N1_S5_1.JPG,0,C1_P06,1936,2056,2080,2332,144,276,True
C3_P06_N3_S4_1.JPG,0,C3_P06,2144,1860,2332,2212,188,352,True
C2_P01_N1_S5_1.JPG,0,C2_P01,624,248,736,396,112,148,True
C1_P10_N1_S5_1.JPG,0,C1_P10,1456,2040,1612,2320,156,280,True
C2_P04_N1_S3_1.JPG,0,C2_P04,1660,220,1820,500,160,280,False
C1_P08_N1_S4_1.JPG,0,C1_P08,3008,804,3200,1172,192,368,True
C1_P08_N2_S3_1.JPG,0,C1_P08,2604,376,2816,724,212,348,True
C1_P08_N2_S3_1.JPG,0,C1_P08,1812,300,2024,696,212,396,True
C3_P03_N1_S5_1.JPG,0,C3_P03,1844,1664,1996,1900,152,236,True
C2_P06_N1_S4_1.JPG,0,C2_P06,200,936,364,1156,164,220,False
C1_P12_N3_S3_1.JPG,0,C1_P12,1096,324,1360,712,264,388,True
C1_P05_N2_S4_2.JPG,0,C1_P05,2848,852,3060,1192,212,340,True
C2_P02_N4_S2_1.JPG,0,C2_P02,84,888,312,1220,228,332,True
C4_P05_N5_S2_1.JPG,0,C4_P05,148,752,332,1096,184,344,True
C4_P05_N1_S3_1.JPG,0,C4_P05,2128,916,2344,1228,216,312,True
C3_P02_N1_S2_2.JPG,0,C3_P02,2908,508,3160,860,252,352,True
C4_P05_N1_S4_1.JPG,0,C4_P05,1836,1676,2052,1984,216,308,True
C1_P09_N4_S4_1.JPG,0,C1_P09,916,904,1096,1172,180,268,False
C1_P02_N3_S2_1.JPG,0,C1_P02,476,1592,840,2144,364,552,True
C1_P09_N3_S4_1.JPG,0,C1_P09,2272,520,2480,784,208,264,False
C4_P07_N3_S3_1.JPG,0,C4_P07,688,1380,876,1696,188,316,True
C1_P08_N4_S3_1.JPG,0,C1_P08,2744,1516,2964,1860,220,344,True
C2_P05_N1_S5_1.JPG,0,C2_P05,684,148,816,336,132,188,True
C1_P03_N2_S3_1.JPG,0,C1_P03,28,388,200,696,172,308,False
C1_P03_N1_S3_2.JPG,0,C1_P03,1080,1532,1256,1756,176,224,False
C4_P02_N2_S3_1.JPG,0,C4_P02,192,344,348,572,156,228,True
C2_P09_N1_S7_2.JPG,0,C2_P09,1340,1100,1436,1236,96,136,False
C2_P08_N1_S6_1.JPG,0,C2_P08,256,652,368,828,112,176,False
C1_P08_N4_S4_1.JPG,0,C1_P08,2472,1560,2688,1912,216,352,True
C4_P07_N1_S4_1.JPG,0,C4_P07,2120,604,2312,908,192,304,True
C1_P05_N1_S4_3.JPG,0,C1_P05,400,1436,616,1836,216,400,True
C4_P03_N3_S3_1.JPG,0,C4_P03,320,1524,532,1812,212,288,True
C4_P02_N1_S3_1.JPG,0,C4_P02,1688,1512,1860,1768,172,256,True
C1_P04_N1_S5_1.JPG,0,C1_P04,1328,1144,1492,1392,164,248,True
C4_P07_N1_S4_2.JPG,0,C4_P07,992,172,1168,420,176,248,True
C2_P04_N2_S4_1.JPG,0,C2_P04,520,632,680,892,160,260,False
C4_P05_N2_S2_1.JPG,0,C4_P05,496,792,716,1144,220,352,True
C1_P04_N1_S5_1.JPG,0,C1_P04,2464,1124,2600,1380,136,256,True
C1_P08_N3_S4_1.JPG,0,C1_P08,784,1376,1044,1792,260,416,True
C1_P09_N3_S4_1.JPG,0,C1_P09,1920,1252,2108,1544,188,292,False
C4_P01_N3_S3_1.JPG,0,C4_P01,856,976,1044,1296,188,320,True
C1_P01_N3_S3_1.JPG,0,C1_P01,988,1836,1260,2284,272,448,True
C3_P06_N3_S4_1.JPG,0,C3_P06,436,32,704,464,268,432,True
C3_P07_N1_S4_1.JPG,0,C3_P07,1116,2004,1312,2268,196,264,True
C1_P10_N2_S3_1.JPG,0,C1_P10,2080,980,2340,1324,260,344,True
C2_P06_N1_S3_2.JPG,0,C2_P06,1188,1156,1376,1408,188,252,False
C1_P09_N3_S4_1.JPG,0,C1_P09,1748,1256,1936,1548,188,292,False
C2_P06_N1_S2_1.JPG,0,C2_P06,2236,144,2420,400,184,256,False
C2_P01_N2_S4_1.JPG,0,C2_P01,1000,1120,1132,1292,132,172,True
C3_P06_N2_S3_2.JPG,0,C3_P06,1220,1040,1468,1456,248,416,True
C4_P07_N1_S4_2.JPG,0,C4_P07,480,1124,644,1428,164,304,True
C1_P04_N2_S4_1.JPG,0,C1_P04,836,212,1060,532,224,320,True
C3_P05_N1_S2_1.JPG,0,C3_P05,804,456,1076,808,272,352,True
C1_P12_N1_S2_1.JPG,0,C1_P12,2256,1372,2552,1908,296,536,True
C3_P04_N4_S2_1.JPG,0,C3_P04,2464,340,2864,960,400,620,True
C2_P01_N2_S3_2.JPG,0,C2_P01,188,768,344,972,156,204,True
C2_P04_N2_S3_1.JPG,0,C2_P04,1144,636,1328,896,184,260,False
C3_P01_N1_S5_1.JPG,0,C3_P01,1072,1328,1232,1580,160,252,True
C3_P02_N3_S3_1.JPG,0,C3_P02,1980,1092,2236,1516,256,424,True
C1_P06_N2_S3_2.JPG,0,C1_P06,2864,92,3092,404,228,312,True
C4_P04_N1_S4_1.JPG,0,C4_P04,2048,1160,2248,1476,200,316,True
C3_P07_N1_S6_1.JPG,0,C3_P07,168,1324,344,1580,176,256,True
C1_P08_N2_S4_2.JPG,0,C1_P08,1344,2004,1524,2360,180,356,True
C1_P08_N1_S4_1.JPG,0,C1_P08,940,88,1168,460,228,372,True
C2_P05_N2_S3_2.JPG,0,C2_P05,1388,1324,1564,1564,176,240,True
C4_P05_N1_S5_1.JPG,0,C4_P05,2172,512,2352,760,180,248,True
C4_P05_N1_S5_1.JPG,0,C4_P05,1500,948,1664,1196,164,248,True
C2_P01_N2_S4_1.JPG,0,C2_P01,264,704,384,880,120,176,True
C2_P09_N1_S7_1.JPG,0,C2_P09,2128,1196,2232,1348,104,152,False
C3_P05_N2_S4_1.JPG,0,C3_P05,532,684,764,1068,232,384,True
C2_P06_N1_S4_1.JPG,0,C2_P06,352,1364,500,1572,148,208,False
C1_P05_N3_S4_1.JPG,0,C1_P05,980,740,1200,1080,220,340,True
C4_P07_N1_S3_1.JPG,0,C4_P07,472,1500,664,1844,192,344,True
C4_P08_N1_S4_1.JPG,0,C4_P08,268,1200,468,1484,200,284,False
C1_P10_N1_S3_1.JPG,0,C1_P10,1016,192,1248,604,232,412,True
C4_P04_N1_S3_1.JPG,0,C4_P04,772,1396,996,1740,224,344,True
C2_P01_N4_S2_1.JPG,0,C2_P01,1344,864,1520,1112,176,248,True
C2_P05_N2_S3_2.JPG,0,C2_P05,404,1292,584,1548,180,256,True
C4_P02_N2_S4_1.JPG,0,C4_P02,1368,32,1528,256,160,224,True
C4_P02_N4_S2_1.JPG,0,C4_P02,908,320,1136,644,228,324,True
C2_P01_N1_S4_1.JPG,0,C2_P01,624,592,744,752,120,160,True
C1_P04_N1_S5_1.JPG,0,C1_P04,2300,620,2456,876,156,256,True
C1_P05_N2_S4_1.JPG,0,C1_P05,2108,32,2328,368,220,336,True
C1_P04_N4_S2_1.JPG,0,C1_P04,1892,1052,2156,1460,264,408,True
C3_P01_N2_S4_1.JPG,0,C3_P01,1500,1428,1688,1732,188,304,True
C2_P03_N1_S3_1.JPG,0,C2_P03,1676,788,1892,1212,216,424,True
C1_P12_N2_S3_1.JPG,0,C1_P12,1468,424,1724,820,256,396,True
C2_P06_N2_S4_2.JPG,0,C2_P06,808,964,964,1172,156,208,False
C2_P07_N1_S3_1.JPG,0,C2_P07,1084,1144,1268,1444,184,300,False
C1_P04_N1_S5_2.JPG,0,C1_P04,1328,2088,1456,2288,128,200,True
C2_P05_N2_S4_1.JPG,0,C2_P05,1544,644,1712,872,168,228,True
C4_P04_N2_S4_1.JPG,0,C4_P04,1396,1400,1612,1712,216,312,True
C1_P04_N1_S4_1.JPG,0,C1_P04,12,100,208,416,196,316,True
C2_P07_N3_S3_1.JPG,0,C2_P07,1068,1232,1260,1508,192,276,False
C2_P08_N2_S4_1.JPG,0,C2_P08,536,1304,684,1524,148,220,False
C3_P05_N2_S2_1.JPG,0,C3_P05,3516,1128,3744,1548,228,420,True
C2_P02_N1_S5_1.JPG,0,C2_P02,1068,1468,1172,1660,104,192,True
C1_P08_N3_S4_2.JPG,0,C1_P08,740,1488,948,1816,208,328,True
C4_P02_N2_S3_1.JPG,0,C4_P02,52,1556,208,1776,156,220,True
C3_P01_N1_S5_2.JPG,0,C3_P01,956,248,1136,504,180,256,True
C1_P06_N1_S3_1.JPG,0,C1_P06,2604,1136,2820,1440,216,304,True
C4_P07_N1_S4_1.JPG,0,C4_P07,700,68,868,344,168,276,True
C3_P05_N1_S4_1.JPG,0,C3_P05,652,992,840,1264,188,272,True
C2_P04_N1_S4_1.JPG,0,C2_P04,1444,164,1604,444,160,280,False
C1_P12_N2_S5_1.JPG,0,C1_P12,896,1232,1064,1488,168,256,True
C2_P03_N2_S3_1.JPG,0,C2_P03,1764,160,1972,584,208,424,True
C1_P06_N2_S3_3.JPG,0,C1_P06,696,1084,916,1404,220,320,True
C2_P04_N3_S4_1.JPG,0,C2_P04,788,1056,968,1280,180,224,False
C1_P05_N1_S4_2.JPG,0,C1_P05,2724,124,2936,456,212,332,True
C4_P04_N1_S4_1.JPG,0,C4_P04,1036,288,1212,620,176,332,True
C2_P08_N1_S6_1.JPG,0,C2_P08,132,56,252,236,120,180,False
C1_P04_N1_S5_2.JPG,0,C1_P04,1720,1656,1856,1888,136,232,True
C4_P04_N3_S3_1.JPG,0,C4_P04,988,560,1224,952,236,392,True
C2_P07_N2_S3_1.JPG,0,C2_P07,904,1176,1096,1456,192,280,False
C1_P10_N1_S4_1.JPG,0,C1_P10,544,216,704,480,160,264,True
C1_P09_N3_S4_2.JPG,0,C1_P09,988,744,1160,1000,172,256,False
C2_P02_N2_S4_1.JPG,0,C2_P02,1260,276,1412,512,152,236,True
C2_P08_N2_S3_2.JPG,0,C2_P08,648,1252,804,1588,156,336,False
C1_P05_N2_S3_1.JPG,0,C1_P05,2532,292,2764,668,232,376,True
C3_P01_N1_S5_2.JPG,0,C3_P01,920,704,1052,1020,132,316,True
C3_P07_N4_S2_1.JPG,0,C3_P07,492,1532,868,1960,376,428,True
C3_P01_N1_S3_1.JPG,0,C3_P01,1748,360,1984,708,236,348,True
C4_P02_N2_S4_1.JPG,0,C4_P02,292,60,436,256,144,196,True
C1_P12_N1_S5_1.JPG,0,C1_P12,576,1200,748,1480,172,280,True
C3_P03_N1_S3_1.JPG,0,C3_P03,3776,1864,4040,2344,264,480,True
C1_P04_N2_S4_1.JPG,0,C1_P04,676,2040,888,2356,212,316,True
C4_P01_N3_S3_1.JPG,0,C4_P01,1576,388,1772,684,196,296,True
C3_P02_N3_S2_1.JPG,0,C3_P02,1616,1380,1912,1860,296,480,True
C1_P06_N3_S3_1.JPG,0,C1_P06,1644,1448,1856,1852,212,404,True
C2_P09_N1_S7_2.JPG,0,C2_P09,1060,1344,1156,1480,96,136,False
C4_P07_N2_S4_1.JPG,0,C4_P07,1152,1224,1320,1492,168,268,True
C2_P08_N1_S3_2.JPG,0,C2_P08,1440,288,1648,608,208,320,False
C2_P04_N1_S2_1.JPG,0,C2_P04,376,816,552,1092,176,276,False
C3_P07_N1_S6_1.JPG,0,C3_P07,324,788,500,1036,176,248,True
C1_P05_N3_S4_1.JPG,0,C1_P05,2280,740,2500,1080,220,340,True
C1_P08_N3_S4_2.JPG,0,C1_P08,2232,1972,2436,2284,204,312,True
C1_P09_N1_S5_1.JPG,0,C1_P09,1760,892,1924,1172,164,280,False
C4_P03_N2_S3_2.JPG,0,C4_P03,1336,1444,1528,1776,192,332,True
C1_P12_N1_S2_1.JPG,0,C1_P12,580,552,876,1008,296,456,True
C2_P01_N2_S3_1.JPG,0,C2_P01,192,960,368,1216,176,256,True
C2_P08_N1_S6_2.JPG,0,C2_P08,580,140,696,308,116,168,False
C4_P05_N1_S3_1.JPG,0,C4_P05,716,1444,900,1772,184,328,True
C2_P01_N1_S3_1.JPG,0,C2_P01,356,760,492,932,136,172,True
C1_P02_N3_S3_1.JPG,0,C1_P02,704,1936,1040,2432,336,496,True
C3_P03_N3_S2_1.JPG,0,C3_P03,2728,556,3024,980,296,424,True
C1_P04_N1_S4_1.JPG,0,C1_P04,1404,1972,1616,2320,212,348,True
C2_P09_N1_S7_2.JPG,0,C2_P09,1468,100,1572,264,104,164,False
C1_P05_N1_S4_3.JPG,0,C1_P05,812,2068,1048,2404,236,336,True
C3_P01_N2_S3_2.JPG,0,C3_P01,2236,320,2464,800,228,480,True
C2_P02_N1_S5_1.JPG,0,C2_P02,1064,904,1184,1072,120,168,True
C2_P03_N3_S3_1.JPG,0,C2_P03,1916,192,2176,580,260,388,True
C3_P05_N3_S3_1.JPG,0,C3_P05,2388,1160,2632,1504,244,344,True
C1_P09_N1_S5_1.JPG,0,C1_P09,1912,2060,2084,2340,172,280,False
C3_P06_N3_S4_2.JPG,0,C3_P06,2912,1968,3100,2320,188,352,True
C3_P07_N2_S3_1.JPG,0,C3_P07,3080,152,3392,604,312,452,True
C1_P02_N2_S3_1.JPG,0,C1_P02,636,124,960,648,324,524,True
C1_P08_N2_S3_1.JPG,0,C1_P08,2192,944,2408,1308,216,364,True
C2_P05_N1_S2_1.JPG,0,C2_P05,272,848,484,1136,212,288,True
C1_P04_N1_S4_1.JPG,0,C1_P04,1204,1372,1408,1696,204,324,True
C1_P02_N1_S2_1.JPG,0,C1_P02,404,1392,768,2040,364,648,True
C2_P05_N1_S2_1.JPG,0,C2_P05,4,228,220,540,216,312,True
C2_P04_N3_S3_1.JPG,0,C2_P04,1940,232,2136,524,196,292,False
C2_P08_N2_S3_1.JPG,0,C2_P08,1212,1424,1432,1768,220,344,False
C3_P01_N2_S3_2.JPG,0,C3_P01,2120,1984,2360,2360,240,376,True
C1_P04_N2_S3_1.JPG,0,C1_P04,1528,404,1732,752,204,348,True
C2_P05_N2_S4_1.JPG,0,C2_P05,924,1460,1080,1676,156,216,True
C1_P05_N1_S5_1.JPG,0,C1_P05,1024,1632,1212,1912,188,280,True
C1_P08_N4_S3_1.JPG,0,C1_P08,564,296,812,692,248,396,True
C2_P01_N1_S2_1.JPG,0,C2_P01,624,812,792,1036,168,224,True
C1_P08_N3_S4_2.JPG,0,C1_P08,2820,920,3020,1260,200,340,True
C1_P06_N1_S5_1.JPG,0,C1_P06,1780,2068,1924,2344,144,276,True
C1_P04_N1_S4_1.JPG,0,C1_P04,1192,36,1388,404,196,368,True
C3_P04_N2_S4_1.JPG,0,C3_P04,852,1184,1052,1528,200,344,True
